FamilyID	PX439<0>	PX356<1>	CBRIG<2>	CNIGO<3>	PX506<4>	<5>	CSINI<6>	<7>	<8>	CLATE<9>	JU1373<10>	NIC58<11>	<12>	<13>	<14>	<15>	CINOP<16>	CELEG<17>	<18>	<19>	<20>
OG0000280	1	3	5	8	5	3	5	5	4	3	5	5	5	4	5	5	0	6	5	5	5
OG0000282	5	4	3	8	5	5	9	6	5	4	3	4	6	5	4	5	0	5	4	4	4
OG0000283	4	5	4	4	3	4	10	4	4	3	4	5	4	4	4	4	3	0	4	3	4
OG0000285	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	56	0	1	5	2
OG0000287	7	5	3	4	6	6	2	4	6	8	4	4	4	6	4	4	2	2	4	2	4
OG0000288	1	3	3	3	4	3	9	3	3	2	3	2	4	3	3	4	18	2	4	5	4
OG0000291	2	2	2	1	2	2	18	2	2	3	0	0	3	3	0	3	1	22	3	4	3
OG0000293	5	1	2	1	9	4	4	2	4	0	3	3	3	3	3	3	23	1	3	5	4
OG0000294	0	0	0	9	0	0	4	3	0	0	0	0	3	0	0	2	7	1	2	2	2
OG0000295	2	2	6	5	3	2	12	6	3	3	5	6	6	3	5	5	1	4	5	4	5
OG0000296	4	3	5	7	4	4	8	6	4	4	1	3	6	4	3	4	2	1	3	2	3
OG0000297	3	3	8	6	4	3	6	6	4	3	5	5	6	4	5	5	1	5	5	5	5
OG0000298	7	5	2	5	5	5	5	5	5	6	2	2	5	5	2	5	0	2	3	2	3
OG0000299	3	3	8	8	3	3	5	8	3	2	3	3	5	3	3	4	2	5	4	4	4
OG0000300	0	4	4	5	4	4	6	5	4	5	3	3	5	4	3	4	1	4	3	3	3
OG0000302	3	3	1	1	3	3	2	1	3	3	5	5	2	3	5	3	1	0	3	1	3
OG0000303	6	0	2	3	3	3	10	3	3	0	4	4	4	3	4	4	4	2	4	4	4
OG0000307	6	6	4	5	4	6	3	4	5	6	4	4	4	5	4	4	1	1	4	1	3
OG0000308	3	4	3	0	6	4	5	3	4	2	2	4	4	4	4	4	4	13	4	5	5
OG0000310	4	4	4	4	4	4	4	4	4	4	3	4	4	4	4	4	2	5	4	4	4
OG0000312	5	5	5	6	5	5	7	6	5	5	5	4	6	5	5	5	1	0	5	1	4
OG0000313	3	1	0	3	1	1	3	3	1	1	1	3	3	1	3	3	28	0	3	4	3
OG0000314	5	6	3	3	6	5	10	3	5	2	3	2	4	4	3	4	0	1	3	1	3
OG0000315	6	5	2	2	6	5	3	2	5	5	8	6	3	5	6	4	0	3	4	3	4
OG0000316	3	3	3	3	3	3	23	3	3	3	1	1	4	3	1	3	0	1	2	1	2
OG0000321	0	2	6	2	5	2	5	5	3	1	5	6	5	3	5	5	1	6	5	5	5
OG0000322	2	2	7	6	4	2	11	6	4	5	2	2	6	4	2	4	1	3	3	3	3
OG0000323	2	4	3	3	5	4	8	3	4	3	3	4	4	4	4	4	1	5	4	4	4
