#FamilyID	pvalue	Significant at 0.05
OG0001590	0.001	y
OG0001591	0.377	n
OG0001592	0.769	n
OG0001593	0.03	y
OG0001594	0.499	n
OG0001595	0.061	n
OG0001596	0.43	n
OG0001597	0.573	n
OG0001598	0.65	n
OG0001599	0.896	n
OG0001600	0.43	n
OG0001601	0.819	n
OG0001602	0.951	n
OG0001603	0.846	n
OG0001604	0.607	n
OG0001605	0.951	n
OG0001606	0.718	n
OG0001607	0.165	n
OG0001610	0.826	n
OG0001611	0.153	n
OG0001612	0.52	n
OG0001613	0.929	n
OG0001614	0.666	n
OG0001616	0.001	y
OG0001617	0.471	n
OG0001620	0.282	n
OG0001621	0.813	n
OG0001622	0.879	n
OG0001623	0.474	n
OG0001624	0.48	n
OG0001625	0.712	n
OG0001626	0.842	n
OG0001627	0.896	n
OG0001628	0.735	n
OG0001629	0.775	n
OG0001630	0.929	n
OG0001631	0.452	n
OG0001632	0.947	n
OG0001633	0.496	n
OG0001634	0.961	n
OG0001635	0.785	n
OG0001636	0.696	n
OG0001637	0.633	n
OG0001638	0.907	n
