Desc	Family	PX356	PX439	CLATE	JU1373	NIC58	PX506	CBREN	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0000337	1	0	2	4	3	3	4	9	4	1	6	10
null	OG0000338	4	4	6	3	3	4	10	3	1	0	6	4
null	OG0000339	2	4	2	1	1	6	3	1	1	1	1	3
null	OG0000340	5	5	6	2	3	3	2	2	0	0	8	6
null	OG0000341	3	8	6	5	2	4	8	0	0	0	10	4
null	OG0000342	0	0	0	2	2	2	4	10	7	0	11	12
null	OG0000343	0	0	0	0	3	0	5	1	0	0	14	4
null	OG0000345	10	8	7	1	1	7	2	0	0	0	0	6
null	OG0000346	3	3	3	3	3	3	2	5	8	2	5	8
null	OG0000347	3	1	1	2	3	4	5	5	2	9	1	9
null	OG0000348	11	11	5	0	0	12	0	0	0	0	0	0
null	OG0000349	9	8	6	0	0	15	0	0	0	0	0	0
null	OG0000350	5	3	5	4	3	5	5	4	3	2	4	3
null	OG0000351	5	4	4	6	4	6	2	3	0	0	6	4
null	OG0000352	2	10	10	0	0	18	0	0	0	0	0	0
null	OG0000353	6	10	4	1	2	3	3	4	5	1	3	1
null	OG0000355	4	4	4	1	1	4	7	4	1	1	6	9
null	OG0000356	4	4	2	2	4	4	5	3	3	5	4	6
null	OG0000357	13	2	3	2	3	5	4	1	3	0	5	1
null	OG0000358	7	6	6	1	1	5	5	0	0	0	3	8
null	OG0000359	4	4	4	3	3	4	5	3	5	2	4	4
null	OG0000360	3	2	2	3	3	3	5	9	3	1	7	5
null	OG0000361	9	7	10	0	0	10	0	0	0	0	0	2
null	OG0000362	4	4	5	3	3	7	3	1	2	1	1	12
null	OG0000363	4	2	2	4	4	4	2	6	6	3	4	5
null	OG0000364	0	0	0	49	1	0	0	0	0	0	0	0
null	OG0000365	0	0	0	0	1	0	0	0	0	0	0	49
null	OG0000366	4	4	3	3	2	4	4	4	5	2	6	2
null	OG0000367	2	2	1	3	3	2	7	7	4	3	6	5
null	OG0000368	4	3	3	3	5	4	7	4	1	1	5	5
null	OG0000369	3	3	3	4	4	4	2	5	5	2	4	5
null	OG0000370	1	9	0	1	0	0	5	0	0	19	3	2
